INFO:root:Feature_selection = None
INFO:root:Algorithm = MNB
INFO:root:Runtime = Hyperparameter optimization in Gaussian Naive Bayes with alpha = np.linspace(0.1,3,300) default parameters. All features used.
 Validation set has 400 points.
INFO:root:alpha = 0.1 	 Train F1 = 0.9964274956244235 	 Validation F1 = 0.8994922860068251
INFO:root:alpha = 2.4471571906354517 	 Train F1 = 0.9692686427303158 	 Validation F1 = 0.895658343362207
INFO:root:alpha = 2.45685618729097 	 Train F1 = 0.9692686427303158 	 Validation F1 = 0.895658343362207
INFO:root:alpha = 2.4665551839464883 	 Train F1 = 0.9692686427303158 	 Validation F1 = 0.895658343362207
INFO:root:alpha = 2.4762541806020066 	 Train F1 = 0.9692686427303158 	 Validation F1 = 0.895658343362207
INFO:root:alpha = 2.485953177257525 	 Train F1 = 0.9692686427303158 	 Validation F1 = 0.895658343362207
INFO:root:alpha = 2.4956521739130437 	 Train F1 = 0.9692686427303158 	 Validation F1 = 0.895658343362207
INFO:root:alpha = 2.505351170568562 	 Train F1 = 0.9692686427303158 	 Validation F1 = 0.8933536508268072
INFO:root:alpha = 2.5150501672240804 	 Train F1 = 0.9692686427303158 	 Validation F1 = 0.8933536508268072
INFO:root:alpha = 2.5247491638795987 	 Train F1 = 0.9692686427303158 	 Validation F1 = 0.8933536508268072
INFO:root:alpha = 2.534448160535117 	 Train F1 = 0.9692686427303158 	 Validation F1 = 0.8933536508268072
INFO:root:alpha = 2.5441471571906353 	 Train F1 = 0.9692686427303158 	 Validation F1 = 0.8959852521771878
INFO:root:alpha = 2.553846153846154 	 Train F1 = 0.9692686427303158 	 Validation F1 = 0.8959852521771878
INFO:root:alpha = 2.5635451505016724 	 Train F1 = 0.9692686427303158 	 Validation F1 = 0.8959852521771878
INFO:root:alpha = 2.5732441471571907 	 Train F1 = 0.9692686427303158 	 Validation F1 = 0.8959852521771878
INFO:root:alpha = 2.582943143812709 	 Train F1 = 0.9692686427303158 	 Validation F1 = 0.8959852521771878
INFO:root:alpha = 2.5926421404682274 	 Train F1 = 0.9692686427303158 	 Validation F1 = 0.8959852521771878
INFO:root:alpha = 2.6023411371237457 	 Train F1 = 0.9692686427303158 	 Validation F1 = 0.8959852521771878
INFO:root:alpha = 2.612040133779264 	 Train F1 = 0.9692686427303158 	 Validation F1 = 0.8959852521771878
INFO:root:alpha = 2.621739130434783 	 Train F1 = 0.9692686427303158 	 Validation F1 = 0.8959852521771878
INFO:root:alpha = 2.631438127090301 	 Train F1 = 0.9692686427303158 	 Validation F1 = 0.8959852521771878
INFO:root:alpha = 2.6411371237458194 	 Train F1 = 0.9692686427303158 	 Validation F1 = 0.8959852521771878
INFO:root:alpha = 2.6508361204013378 	 Train F1 = 0.9692686427303158 	 Validation F1 = 0.8959852521771878
INFO:root:alpha = 2.660535117056856 	 Train F1 = 0.9687579847959489 	 Validation F1 = 0.8959852521771878
INFO:root:alpha = 2.6702341137123744 	 Train F1 = 0.9687579847959489 	 Validation F1 = 0.8959852521771878
INFO:root:alpha = 2.679933110367893 	 Train F1 = 0.9687579847959489 	 Validation F1 = 0.8959852521771878
INFO:root:alpha = 2.6896321070234115 	 Train F1 = 0.9687579847959489 	 Validation F1 = 0.8959852521771878
INFO:root:alpha = 2.69933110367893 	 Train F1 = 0.9687579847959489 	 Validation F1 = 0.8959852521771878
INFO:root:alpha = 2.709030100334448 	 Train F1 = 0.9687579847959489 	 Validation F1 = 0.8959852521771878
INFO:root:alpha = 2.7187290969899665 	 Train F1 = 0.9687579847959489 	 Validation F1 = 0.8959852521771878
INFO:root:alpha = 2.7284280936454848 	 Train F1 = 0.9687579847959489 	 Validation F1 = 0.8959852521771878
INFO:root:alpha = 2.7381270903010035 	 Train F1 = 0.9687579847959489 	 Validation F1 = 0.8959852521771878
INFO:root:alpha = 2.747826086956522 	 Train F1 = 0.9687579847959489 	 Validation F1 = 0.8959852521771878
INFO:root:alpha = 2.75752508361204 	 Train F1 = 0.9687579847959489 	 Validation F1 = 0.8959852521771878
INFO:root:alpha = 2.7672240802675585 	 Train F1 = 0.9687579847959489 	 Validation F1 = 0.8959852521771878
INFO:root:alpha = 2.776923076923077 	 Train F1 = 0.9687579847959489 	 Validation F1 = 0.8959852521771878
INFO:root:alpha = 2.786622073578595 	 Train F1 = 0.9687579847959489 	 Validation F1 = 0.8959852521771878
INFO:root:alpha = 2.796321070234114 	 Train F1 = 0.9687579847959489 	 Validation F1 = 0.8959852521771878
INFO:root:alpha = 2.8060200668896322 	 Train F1 = 0.9687579847959489 	 Validation F1 = 0.8959852521771878
INFO:root:alpha = 2.8157190635451506 	 Train F1 = 0.9687579847959489 	 Validation F1 = 0.8959852521771878
INFO:root:alpha = 2.825418060200669 	 Train F1 = 0.9687579847959489 	 Validation F1 = 0.8959852521771878
INFO:root:alpha = 2.835117056856187 	 Train F1 = 0.9687579847959489 	 Validation F1 = 0.8959852521771878
INFO:root:alpha = 2.8448160535117055 	 Train F1 = 0.9687579847959489 	 Validation F1 = 0.8959852521771878
INFO:root:alpha = 2.8545150501672243 	 Train F1 = 0.9687579847959489 	 Validation F1 = 0.8959852521771878
INFO:root:alpha = 2.8642140468227426 	 Train F1 = 0.9687579847959489 	 Validation F1 = 0.8959852521771878
INFO:root:alpha = 2.873913043478261 	 Train F1 = 0.9687579847959489 	 Validation F1 = 0.8959852521771878
INFO:root:alpha = 2.8836120401337793 	 Train F1 = 0.9687579847959489 	 Validation F1 = 0.8959852521771878
INFO:root:alpha = 2.8933110367892976 	 Train F1 = 0.9687579847959489 	 Validation F1 = 0.8936775180564055
INFO:root:alpha = 2.903010033444816 	 Train F1 = 0.9687579847959489 	 Validation F1 = 0.8936775180564055
INFO:root:alpha = 2.9127090301003347 	 Train F1 = 0.9687579847959489 	 Validation F1 = 0.8936775180564055
INFO:root:alpha = 2.922408026755853 	 Train F1 = 0.9687579847959489 	 Validation F1 = 0.8936775180564055
INFO:root:alpha = 2.9321070234113713 	 Train F1 = 0.9687579847959489 	 Validation F1 = 0.8936775180564055
INFO:root:alpha = 2.9418060200668896 	 Train F1 = 0.9687579847959489 	 Validation F1 = 0.8936775180564055
INFO:root:alpha = 2.951505016722408 	 Train F1 = 0.9687579847959489 	 Validation F1 = 0.8936775180564055
INFO:root:alpha = 2.9612040133779263 	 Train F1 = 0.9687579847959489 	 Validation F1 = 0.8936775180564055
INFO:root:alpha = 2.970903010033445 	 Train F1 = 0.9687579847959489 	 Validation F1 = 0.8936775180564055
INFO:root:alpha = 2.9806020066889634 	 Train F1 = 0.9687579847959489 	 Validation F1 = 0.8936775180564055
INFO:root:alpha = 2.9903010033444817 	 Train F1 = 0.9687579847959489 	 Validation F1 = 0.8936775180564055
INFO:root:alpha = 3.0 	 Train F1 = 0.9687579847959489 	 Validation F1 = 0.8936775180564055
INFO:root:Time to run : 225.11147546768188 s.
DEBUG:matplotlib.axes._base:update_title_pos
DEBUG:matplotlib.font_manager:findfont: Matching :family=sans-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0 to DejaVu Sans ('C:\\Users\\Associate\\Anaconda3\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans.ttf') with score of 0.050000.
DEBUG:matplotlib.axes._base:update_title_pos
DEBUG:matplotlib.axes._base:update_title_pos
DEBUG:matplotlib.axes._base:update_title_pos
DEBUG:matplotlib.axes._base:update_title_pos
DEBUG:matplotlib.axes._base:update_title_pos
DEBUG:matplotlib.axes._base:update_title_pos
